epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.581,1.22964,1.57935,1.192,0.82651,0.75096,0.83698,0.50285,1.15285,1.31501,1.17418,0.00055454,0.00055454,0.00055454
2,116.416,1.24941,1.30845,1.20368,0.87682,0.88557,0.9244,0.5864,1.03162,0.90325,1.08879,0.00109593,0.00109593,0.00109593
3,171.417,1.25193,1.17232,1.20704,0.82184,0.86556,0.85691,0.54387,1.11815,0.97413,1.12629,0.00162304,0.00162304,0.00162304
4,226.563,1.1932,1.07152,1.17382,0.85813,0.90058,0.92375,0.59161,0.99259,0.89857,1.06452,0.0016027,0.0016027,0.0016027
5,281.85,1.18082,1.021,1.16932,0.87189,0.89727,0.90725,0.5967,0.92806,0.76287,1.03854,0.00158127,0.00158127,0.00158127
6,336.729,1.12661,0.93798,1.13434,0.89244,0.92939,0.93916,0.63038,0.95561,0.6966,1.05676,0.00155984,0.00155984,0.00155984
7,391.23,1.09867,0.89773,1.12627,0.88596,0.92226,0.93834,0.66545,0.88309,0.66366,1.02673,0.0015384,0.0015384,0.0015384
8,445.741,1.07984,0.87796,1.12182,0.90044,0.93223,0.93734,0.66849,0.89944,0.62712,1.02538,0.00151697,0.00151697,0.00151697
9,500.518,1.06399,0.84743,1.10783,0.88646,0.92022,0.92376,0.64511,0.91909,0.62527,1.03773,0.00149554,0.00149554,0.00149554
10,555.122,1.0548,0.83032,1.10829,0.91642,0.92472,0.94772,0.66689,0.96538,0.65594,1.08255,0.0014741,0.0014741,0.0014741
11,609.976,1.03643,0.82461,1.10258,0.94256,0.92623,0.95149,0.68066,0.88283,0.59895,1.02793,0.00145267,0.00145267,0.00145267
12,665.377,1.0243,0.78269,1.08837,0.92461,0.92246,0.9422,0.64576,0.9526,0.64,1.06459,0.00143124,0.00143124,0.00143124
13,720.759,1.00903,0.77027,1.08459,0.90771,0.92549,0.93769,0.6632,0.92223,0.61572,1.02942,0.00140981,0.00140981,0.00140981
14,776.528,0.99685,0.76386,1.07499,0.9378,0.93541,0.95875,0.68795,0.89183,0.57868,1.03176,0.00138837,0.00138837,0.00138837
15,831.788,0.99073,0.74452,1.07456,0.91911,0.9299,0.94353,0.69967,0.82914,0.55652,0.9799,0.00136694,0.00136694,0.00136694
16,887.299,0.97841,0.7378,1.07648,0.92926,0.93525,0.95606,0.68969,0.84323,0.55183,1.00162,0.00134551,0.00134551,0.00134551
17,942.802,0.97527,0.72049,1.06793,0.87335,0.93557,0.94342,0.66368,0.92244,0.61795,1.0916,0.00132407,0.00132407,0.00132407
18,998.072,0.96407,0.70782,1.0577,0.93899,0.93442,0.9498,0.67524,0.91845,0.59029,1.08006,0.00130264,0.00130264,0.00130264
19,1053.61,0.95044,0.69374,1.05845,0.94675,0.94903,0.96302,0.71155,0.85305,0.53906,1.0293,0.00128121,0.00128121,0.00128121
20,1109.53,0.94297,0.6828,1.05173,0.93839,0.93246,0.95923,0.69259,0.87186,0.537,1.03844,0.00125978,0.00125978,0.00125978
21,1164.98,0.94901,0.68629,1.05258,0.94642,0.94507,0.96637,0.70615,0.88411,0.53429,1.05975,0.00123834,0.00123834,0.00123834
22,1220.5,0.93062,0.66807,1.04839,0.94147,0.94266,0.95095,0.67505,0.93432,0.54044,1.09841,0.00121691,0.00121691,0.00121691
23,1276,0.93331,0.67128,1.05336,0.957,0.9339,0.96062,0.68195,0.8699,0.54976,1.0296,0.00119548,0.00119548,0.00119548
24,1331.29,0.90914,0.65519,1.03763,0.9434,0.94278,0.958,0.6738,0.9102,0.52792,1.08794,0.00117404,0.00117404,0.00117404
25,1386.2,0.92062,0.65542,1.04951,0.93035,0.92769,0.95107,0.71146,0.83018,0.55517,1.01293,0.00115261,0.00115261,0.00115261
