epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,1441.47,0.91418,0.64882,1.04097,0.95054,0.9453,0.96725,0.72654,0.81238,0.528,0.99477,0.00113118,0.00113118,0.00113118
27,1496.61,0.90423,0.63816,1.03893,0.94284,0.94023,0.95752,0.69883,0.85305,0.51881,1.06576,0.00110975,0.00110975,0.00110975
28,1551.64,0.90575,0.62994,1.04055,0.93382,0.94249,0.96601,0.69783,0.88956,0.52172,1.06191,0.00108831,0.00108831,0.00108831
29,1606.81,0.89528,0.62811,1.02984,0.95926,0.94977,0.96867,0.72098,0.82515,0.51238,0.99567,0.00106688,0.00106688,0.00106688
30,1661.85,0.89458,0.62055,1.036,0.95728,0.95339,0.96968,0.72702,0.82639,0.4996,1.02739,0.00104545,0.00104545,0.00104545
31,1716.97,0.88951,0.63212,1.03352,0.94862,0.93908,0.96538,0.7434,0.76146,0.48614,0.96085,0.00102401,0.00102401,0.00102401
32,1772.25,0.87705,0.61156,1.03287,0.94238,0.94477,0.9556,0.71455,0.81262,0.50972,1.01244,0.00100258,0.00100258,0.00100258
33,1827.5,0.86845,0.59079,1.01955,0.92903,0.95071,0.96566,0.70902,0.84473,0.50337,1.05077,0.000981149,0.000981149,0.000981149
34,1882.36,0.87913,0.60109,1.02672,0.96268,0.9461,0.96132,0.73252,0.80764,0.49023,0.99055,0.000959716,0.000959716,0.000959716
35,1937.18,0.87062,0.59166,1.0197,0.94738,0.93725,0.95993,0.7159,0.86727,0.51468,1.03686,0.000938283,0.000938283,0.000938283
36,1992.26,0.86432,0.59046,1.02112,0.9495,0.94508,0.96442,0.73294,0.78628,0.50294,0.98807,0.00091685,0.00091685,0.00091685
37,2047.26,0.85767,0.5859,1.01861,0.95245,0.93601,0.95909,0.72577,0.83622,0.48584,1.06627,0.000895417,0.000895417,0.000895417
38,2102.11,0.85146,0.58578,1.01365,0.92798,0.94453,0.95793,0.71786,0.81509,0.49833,1.02384,0.000873984,0.000873984,0.000873984
39,2156.64,0.84574,0.57874,1.01466,0.95992,0.94122,0.96753,0.74089,0.80338,0.48666,1.02053,0.000852551,0.000852551,0.000852551
40,2211.4,0.8502,0.57691,1.01585,0.95778,0.94714,0.95939,0.71871,0.80208,0.47093,0.98235,0.000831119,0.000831119,0.000831119
41,2266.18,0.85031,0.5645,1.01227,0.95276,0.94805,0.96506,0.73905,0.77235,0.46775,0.97546,0.000809686,0.000809686,0.000809686
42,2320.93,0.8363,0.55683,1.00556,0.95047,0.94797,0.96415,0.72357,0.82755,0.47899,1.01824,0.000788253,0.000788253,0.000788253
43,2375.24,0.83207,0.54164,1.006,0.9499,0.95071,0.96727,0.74554,0.76101,0.46488,0.96744,0.00076682,0.00076682,0.00076682
44,2429.93,0.84184,0.55854,1.00711,0.95501,0.94408,0.96998,0.73807,0.79389,0.46053,0.99976,0.000745387,0.000745387,0.000745387
45,2485.48,0.82887,0.55165,1.00625,0.9385,0.94434,0.96849,0.75285,0.75416,0.45787,0.95823,0.000723954,0.000723954,0.000723954
46,2541.08,0.82317,0.55056,1.00012,0.94237,0.94553,0.96095,0.7484,0.75888,0.46008,0.96726,0.000702521,0.000702521,0.000702521
47,2596.68,0.81754,0.53845,1.00046,0.95604,0.93972,0.96344,0.74049,0.79711,0.4787,1.03035,0.000681089,0.000681089,0.000681089
48,2652.1,0.81822,0.544,0.99985,0.95381,0.94591,0.96664,0.73807,0.78771,0.46148,0.9992,0.000659656,0.000659656,0.000659656
49,2707.45,0.80781,0.53729,0.99303,0.95893,0.94861,0.96187,0.73963,0.78706,0.46633,0.99154,0.000638223,0.000638223,0.000638223
50,2762.6,0.81304,0.53191,0.99884,0.96434,0.95482,0.97265,0.75459,0.72966,0.44379,0.94644,0.00061679,0.00061679,0.00061679
51,2817.89,0.80295,0.5305,0.99204,0.96234,0.95239,0.96138,0.74324,0.77259,0.45642,0.99958,0.000595357,0.000595357,0.000595357
52,2873.5,0.80524,0.52454,0.99518,0.96485,0.95318,0.9725,0.75181,0.77416,0.43842,1.00086,0.000573924,0.000573924,0.000573924
53,2929.11,0.79775,0.51553,0.9931,0.96067,0.95277,0.97081,0.74341,0.78737,0.44555,1.00423,0.000552491,0.000552491,0.000552491
54,2984.97,0.77826,0.51758,0.98596,0.9608,0.9491,0.96185,0.72722,0.81136,0.44573,1.03216,0.000531059,0.000531059,0.000531059
55,3040.18,0.78925,0.51544,0.98983,0.96217,0.94861,0.95748,0.73758,0.80498,0.44939,1.03276,0.000509626,0.000509626,0.000509626
56,3095.82,0.77607,0.49933,0.98669,0.96494,0.949,0.96663,0.74774,0.77179,0.43731,0.99573,0.000488193,0.000488193,0.000488193
57,3151.42,0.78336,0.50434,0.98309,0.96656,0.95137,0.9611,0.74954,0.79329,0.44974,1.03401,0.00046676,0.00046676,0.00046676
58,3206.65,0.77697,0.51374,0.98562,0.96937,0.95008,0.967,0.74727,0.78231,0.43756,1.01966,0.000445327,0.000445327,0.000445327
59,3262.01,0.774,0.50695,0.98071,0.96742,0.9523,0.96976,0.74509,0.80823,0.45159,1.04927,0.000423894,0.000423894,0.000423894
60,3317.43,0.76518,0.50212,0.98017,0.96132,0.94657,0.96504,0.74432,0.80026,0.4417,1.02243,0.000402461,0.000402461,0.000402461
61,3372.81,0.71307,0.40981,0.9314,0.9586,0.95281,0.96319,0.74128,0.79813,0.44956,1.02369,0.000381029,0.000381029,0.000381029
62,3428.08,0.70254,0.40034,0.93011,0.961,0.9438,0.95898,0.75128,0.78792,0.43901,1.02355,0.000359596,0.000359596,0.000359596
63,3482.91,0.7025,0.39448,0.92577,0.95804,0.95116,0.96452,0.75174,0.79192,0.4449,1.03236,0.000338163,0.000338163,0.000338163
64,3537.96,0.69337,0.39669,0.92281,0.9602,0.94855,0.96131,0.75262,0.77065,0.44292,0.99828,0.00031673,0.00031673,0.00031673
65,3592.7,0.68698,0.38742,0.92334,0.9576,0.94505,0.96462,0.74533,0.77645,0.44631,1.00149,0.000295297,0.000295297,0.000295297
66,3647.34,0.67532,0.38293,0.91669,0.96165,0.94249,0.96209,0.74085,0.78505,0.45097,1.01699,0.000273864,0.000273864,0.000273864
67,3702.16,0.6681,0.37467,0.91467,0.94947,0.94138,0.9587,0.74482,0.79516,0.44152,1.02386,0.000252431,0.000252431,0.000252431
68,3757.26,0.68193,0.38463,0.92008,0.94811,0.93916,0.95339,0.73107,0.82161,0.45202,1.04606,0.000230999,0.000230999,0.000230999
69,3812.39,0.66067,0.37003,0.91369,0.95395,0.9387,0.95611,0.73644,0.81571,0.44349,1.04098,0.000209566,0.000209566,0.000209566
70,3867.23,0.65133,0.36255,0.90807,0.96065,0.93944,0.96395,0.74248,0.79718,0.42979,1.03395,0.000188133,0.000188133,0.000188133
