epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7490.26,0.81867,0.52509,1.08359,0.95035,0.95953,0.96986,0.73541,0.78711,0.44495,1.14648,0.00105188,0.00105188,0.00105188
43,7668.36,0.80871,0.51367,1.08288,0.96029,0.95515,0.97602,0.7471,0.74934,0.46514,1.09871,0.00103687,0.00103687,0.00103687
44,7846.46,0.80923,0.52718,1.08063,0.95807,0.95311,0.96767,0.73999,0.78593,0.42774,1.16666,0.00102187,0.00102187,0.00102187
45,8024.5,0.80631,0.51896,1.08131,0.95957,0.95851,0.96909,0.73846,0.77383,0.44999,1.1203,0.00100687,0.00100687,0.00100687
46,8202.52,0.79529,0.52163,1.07628,0.93632,0.96055,0.96384,0.75007,0.72299,0.421,1.07156,0.000991865,0.000991865,0.000991865
47,8380.84,0.79612,0.5048,1.08582,0.95729,0.95352,0.97742,0.74634,0.75209,0.45302,1.14319,0.000976862,0.000976862,0.000976862
48,8559.04,0.79952,0.52011,1.07414,0.96594,0.95894,0.97547,0.74794,0.77848,0.43605,1.14409,0.000961859,0.000961859,0.000961859
49,8737.14,0.78639,0.51065,1.07112,0.96723,0.94978,0.97544,0.75022,0.76127,0.44422,1.1302,0.000946856,0.000946856,0.000946856
50,8915.36,0.79773,0.50841,1.07379,0.96109,0.95617,0.97387,0.75071,0.72506,0.44305,1.0935,0.000931853,0.000931853,0.000931853
51,9093.8,0.77426,0.49753,1.06671,0.95102,0.95239,0.96025,0.74168,0.72826,0.44596,1.11412,0.00091685,0.00091685,0.00091685
52,9271.88,0.78251,0.50088,1.0675,0.96338,0.95821,0.97918,0.76513,0.71485,0.4371,1.08178,0.000901847,0.000901847,0.000901847
53,9450.28,0.77403,0.49356,1.06105,0.95488,0.95341,0.97735,0.74308,0.75863,0.44122,1.1318,0.000886844,0.000886844,0.000886844
54,9629.76,0.76146,0.49269,1.06,0.95469,0.95923,0.96772,0.76107,0.70766,0.41721,1.05917,0.000871841,0.000871841,0.000871841
55,9807.66,0.76637,0.49102,1.05444,0.96236,0.95711,0.96708,0.74303,0.77629,0.44148,1.14081,0.000856838,0.000856838,0.000856838
56,9985.78,0.75563,0.475,1.05768,0.95231,0.94963,0.97252,0.75447,0.77223,0.44112,1.11635,0.000841835,0.000841835,0.000841835
57,10164,0.76085,0.47526,1.05203,0.94973,0.96218,0.97239,0.75125,0.74988,0.40772,1.09107,0.000826832,0.000826832,0.000826832
58,10341.8,0.75907,0.48946,1.05688,0.94089,0.95318,0.96015,0.74607,0.76912,0.4261,1.12271,0.000811829,0.000811829,0.000811829
59,10519.8,0.74864,0.47511,1.04545,0.95133,0.95545,0.96273,0.74756,0.73809,0.41762,1.07577,0.000796826,0.000796826,0.000796826
60,10697.8,0.74741,0.47369,1.04777,0.96693,0.95443,0.97658,0.75764,0.74111,0.40843,1.07138,0.000781823,0.000781823,0.000781823
61,10875.9,0.74078,0.47372,1.04613,0.95377,0.96099,0.97712,0.75166,0.76968,0.41186,1.11402,0.00076682,0.00076682,0.00076682
62,11054,0.74091,0.46623,1.04366,0.95968,0.96025,0.98182,0.76552,0.71471,0.39411,1.05044,0.000751817,0.000751817,0.000751817
63,11232.2,0.72809,0.46108,1.03564,0.9659,0.95923,0.97241,0.74849,0.73887,0.41384,1.08515,0.000736814,0.000736814,0.000736814
64,11410.2,0.72841,0.45915,1.03738,0.96479,0.95321,0.96619,0.75208,0.74579,0.4217,1.06743,0.000721811,0.000721811,0.000721811
65,11588.3,0.72804,0.45784,1.03975,0.96087,0.9407,0.97359,0.74012,0.78239,0.40758,1.16508,0.000706808,0.000706808,0.000706808
66,11766.3,0.72524,0.46163,1.03811,0.96198,0.95835,0.97415,0.75578,0.73489,0.41884,1.07016,0.000691805,0.000691805,0.000691805
67,11944.3,0.71536,0.44281,1.03169,0.96282,0.96093,0.96917,0.75165,0.7477,0.40953,1.10568,0.000676802,0.000676802,0.000676802
68,12122.4,0.71896,0.44918,1.03332,0.95397,0.95894,0.97037,0.74106,0.76461,0.4143,1.14701,0.000661799,0.000661799,0.000661799
69,12300.4,0.70849,0.44147,1.02734,0.96428,0.95821,0.97568,0.75792,0.72135,0.42134,1.08537,0.000646796,0.000646796,0.000646796
70,12478.4,0.70609,0.44131,1.02955,0.95624,0.95824,0.97192,0.76022,0.72953,0.39316,1.11094,0.000631793,0.000631793,0.000631793
71,12656.5,0.71031,0.43964,1.03992,0.9645,0.95715,0.97661,0.75061,0.77166,0.41388,1.16447,0.00061679,0.00061679,0.00061679
72,12834.5,0.70317,0.43553,1.0287,0.97038,0.95413,0.97343,0.74072,0.77427,0.40088,1.19111,0.000601787,0.000601787,0.000601787
73,13012.4,0.71019,0.43969,1.03296,0.96008,0.95649,0.97095,0.75015,0.75589,0.39526,1.12469,0.000586784,0.000586784,0.000586784
74,13190.3,0.69121,0.4305,1.02313,0.96576,0.95012,0.97057,0.75178,0.75701,0.40743,1.1478,0.000571781,0.000571781,0.000571781
