model,mAP@0.5,mAP@0.5:0.95,precision,recall
yolo_v11n,0.945606732003681,0.7670894699576994,0.9678947567098259,0.9161292141165858
yolo_v11n.pt,0.945606732003681,0.7670894699576994,0.9678947567098259,0.9161292141165858
yolo_v11n.pt,0.945606732003681,0.7670894699576994,0.9678947567098259,0.9161292141165858
yolo_v5n.pt,0.9385598301704947,0.765168082729325,0.9643809279671879,0.905130228887135
yolo_v8n.pt,0.9318510982925379,0.7643885333136715,0.9731950376245678,0.8874844965610553
yolo_v8m.pt,0.968264466823768,0.7896527819754537,0.9669627165823337,0.9454222573007103
