epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2047.39,0.81572,0.52242,1.01555,0.95219,0.94729,0.96748,0.72502,0.83368,0.45625,1.06675,0.000788253,0.000788253,0.000788253
43,2095.71,0.81677,0.5188,1.01678,0.9619,0.9583,0.97217,0.73663,0.78547,0.46261,1.0341,0.00076682,0.00076682,0.00076682
44,2143.85,0.81101,0.5273,1.01258,0.96032,0.95618,0.97026,0.73099,0.82316,0.44864,1.04009,0.000745387,0.000745387,0.000745387
45,2192.22,0.81235,0.51834,1.01653,0.94525,0.96485,0.97271,0.74222,0.76979,0.44484,0.99039,0.000723954,0.000723954,0.000723954
46,2240.67,0.8045,0.51893,1.00831,0.95085,0.95179,0.97077,0.7469,0.75334,0.44621,0.98044,0.000702521,0.000702521,0.000702521
47,2289.46,0.79206,0.50514,1.00701,0.96502,0.94958,0.96786,0.75265,0.73128,0.44544,0.96854,0.000681089,0.000681089,0.000681089
48,2338.37,0.79756,0.51197,1.00492,0.95403,0.94146,0.96397,0.72943,0.81578,0.45797,1.04811,0.000659656,0.000659656,0.000659656
49,2387.28,0.78937,0.50494,1.00061,0.96001,0.94444,0.97024,0.74413,0.7986,0.45042,1.05307,0.000638223,0.000638223,0.000638223
50,2435.89,0.78811,0.50023,1.00219,0.97003,0.95078,0.97227,0.75471,0.73288,0.43935,0.97701,0.00061679,0.00061679,0.00061679
51,2484.77,0.78264,0.49767,1.00094,0.96221,0.94654,0.96202,0.75032,0.75262,0.44279,0.99129,0.000595357,0.000595357,0.000595357
52,2533.34,0.7794,0.49541,1.0015,0.9685,0.94969,0.97462,0.76045,0.75997,0.43314,1.00548,0.000573924,0.000573924,0.000573924
53,2582.29,0.77982,0.48376,1.00234,0.96093,0.95793,0.9732,0.7546,0.75197,0.4407,0.99563,0.000552491,0.000552491,0.000552491
54,2631.13,0.75661,0.4849,0.99448,0.96328,0.94835,0.9681,0.74517,0.75392,0.42527,0.99682,0.000531059,0.000531059,0.000531059
55,2679.85,0.76319,0.48595,0.99661,0.95778,0.94321,0.96301,0.73904,0.77651,0.44769,1.03059,0.000509626,0.000509626,0.000509626
56,2729.47,0.74838,0.46694,0.99342,0.96125,0.94708,0.96635,0.74761,0.76512,0.42145,1.01893,0.000488193,0.000488193,0.000488193
57,2778.43,0.76121,0.4731,0.99527,0.9607,0.95063,0.96487,0.75761,0.74499,0.43442,1.00837,0.00046676,0.00046676,0.00046676
58,2826.85,0.75828,0.48341,0.99706,0.95734,0.94197,0.96262,0.74498,0.76569,0.42879,1.01863,0.000445327,0.000445327,0.000445327
59,2875.76,0.75337,0.47298,0.9883,0.96337,0.95485,0.96736,0.75671,0.74966,0.42332,0.9865,0.000423894,0.000423894,0.000423894
60,2924.38,0.74741,0.46458,0.98514,0.96247,0.95005,0.96576,0.7568,0.74561,0.42142,0.97822,0.000402461,0.000402461,0.000402461
61,2972.55,0.69483,0.38464,0.94158,0.96172,0.95281,0.97353,0.7674,0.7103,0.42563,0.96431,0.000381029,0.000381029,0.000381029
62,3020.17,0.68471,0.37223,0.93616,0.96217,0.94627,0.96657,0.76363,0.72689,0.41426,0.96603,0.000359596,0.000359596,0.000359596
63,3067.63,0.67777,0.36496,0.93049,0.9528,0.94015,0.96846,0.7618,0.74568,0.42868,1.00284,0.000338163,0.000338163,0.000338163
64,3115.31,0.67074,0.36029,0.92752,0.95386,0.94189,0.96522,0.74543,0.78193,0.43733,1.03482,0.00031673,0.00031673,0.00031673
65,3162.76,0.66319,0.35696,0.92675,0.94571,0.94878,0.96739,0.74561,0.78026,0.41791,1.03659,0.000295297,0.000295297,0.000295297
66,3210.07,0.65553,0.35064,0.92564,0.96303,0.95107,0.97114,0.74934,0.75615,0.42108,1.01773,0.000273864,0.000273864,0.000273864
67,3257.5,0.64802,0.34807,0.9243,0.95183,0.94807,0.96876,0.75095,0.7626,0.4179,1.02048,0.000252431,0.000252431,0.000252431
68,3305.21,0.65483,0.35441,0.92676,0.94937,0.94608,0.96367,0.7482,0.77862,0.41482,1.03944,0.000230999,0.000230999,0.000230999
69,3352.88,0.63894,0.34335,0.9186,0.96078,0.95208,0.97063,0.75075,0.76336,0.41344,1.00925,0.000209566,0.000209566,0.000209566
70,3400.52,0.63219,0.33237,0.91167,0.96755,0.95558,0.97639,0.76052,0.77018,0.40838,1.03209,0.000188133,0.000188133,0.000188133
