epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2485.44,0.83087,0.54358,1.00861,0.95323,0.95555,0.96775,0.73324,0.82584,0.46498,1.04611,0.000788253,0.000788253,0.000788253
43,2541.13,0.82544,0.53825,1.0074,0.96595,0.94959,0.96947,0.729,0.78463,0.46927,1.02449,0.00076682,0.00076682,0.00076682
44,2598.06,0.8324,0.5481,1.00793,0.95773,0.95048,0.96263,0.73088,0.77284,0.45741,0.9896,0.000745387,0.000745387,0.000745387
45,2654.78,0.82716,0.53837,1.00786,0.96702,0.95881,0.97082,0.74325,0.77299,0.44623,0.98117,0.000723954,0.000723954,0.000723954
46,2714.17,0.82335,0.53959,1.00463,0.95326,0.95341,0.97485,0.74416,0.77737,0.42655,0.99582,0.000702521,0.000702521,0.000702521
47,2774.87,0.81211,0.5244,1.00382,0.95374,0.95012,0.97093,0.7531,0.71674,0.44289,0.96017,0.000681089,0.000681089,0.000681089
48,2835.87,0.81613,0.53331,0.99983,0.9548,0.95928,0.96785,0.74029,0.79569,0.43795,1.01376,0.000659656,0.000659656,0.000659656
49,2897.2,0.80334,0.52691,0.99876,0.96644,0.94867,0.96906,0.76287,0.68626,0.4307,0.9247,0.000638223,0.000638223,0.000638223
50,2958.18,0.81238,0.51516,1.00242,0.95468,0.95711,0.97155,0.7614,0.70364,0.42147,0.94535,0.00061679,0.00061679,0.00061679
51,3019.04,0.79693,0.51382,0.99637,0.96695,0.9489,0.96818,0.75031,0.74539,0.45434,0.98391,0.000595357,0.000595357,0.000595357
52,3080.19,0.8008,0.51246,0.99834,0.96097,0.95854,0.96901,0.74659,0.78954,0.43005,1.06382,0.000573924,0.000573924,0.000573924
53,3141.58,0.79891,0.50707,0.99431,0.95795,0.95298,0.96629,0.75277,0.75951,0.43029,0.99363,0.000552491,0.000552491,0.000552491
54,3203.08,0.77608,0.50361,0.98938,0.96265,0.95545,0.96748,0.74319,0.80224,0.43754,1.04835,0.000531059,0.000531059,0.000531059
55,3265.05,0.78509,0.50209,0.99312,0.95658,0.95318,0.96479,0.74612,0.79719,0.4355,1.05918,0.000509626,0.000509626,0.000509626
56,3327.35,0.76841,0.4848,0.98851,0.95548,0.95924,0.97054,0.75053,0.78617,0.41125,1.03752,0.000488193,0.000488193,0.000488193
57,3389.16,0.78281,0.49698,0.98924,0.9647,0.95291,0.96821,0.74946,0.78362,0.41229,1.04015,0.00046676,0.00046676,0.00046676
